LOCART MAD,Global CP MAD,Naive MAD,CDF MAD
0.0348,0.020600000000000007,0.06770000000000002,0.03810000000000002
0.05509999999999997,0.05549999999999996,0.052800000000000034,0.046099999999999954
0.0379,0.03859999999999999,0.03750000000000001,0.033299999999999996
0.033899999999999986,0.04009999999999998,0.052400000000000016,0.05669999999999999
0.04089999999999999,0.03349999999999999,0.048900000000000034,0.041300000000000024
0.03709999999999998,0.03660000000000001,0.04000000000000002,0.03750000000000003
0.02390000000000001,0.024400000000000012,0.04900000000000003,0.03600000000000003
0.028099999999999993,0.02909999999999998,0.05140000000000002,0.02150000000000001
0.02419999999999999,0.03889999999999999,0.04270000000000003,0.03550000000000002
0.04979999999999999,0.05179999999999997,0.05220000000000001,0.04109999999999997
0.030199999999999994,0.029200000000000004,0.04040000000000001,0.03200000000000001
0.04859999999999998,0.03399999999999999,0.041400000000000034,0.0258
0.02539999999999999,0.036099999999999986,0.057000000000000016,0.03470000000000001
0.0254,0.02579999999999999,0.053100000000000036,0.020000000000000007
0.030400000000000017,0.030899999999999993,0.06100000000000001,0.0452
0.038400000000000004,0.03639999999999999,0.045700000000000005,0.027699999999999992
0.04429999999999997,0.04459999999999997,0.043500000000000025,0.03389999999999997
0.032299999999999995,0.03169999999999999,0.07000000000000002,0.026700000000000012
0.04409999999999997,0.04299999999999997,0.03570000000000003,0.03699999999999996
0.05319999999999998,0.03779999999999998,0.06280000000000001,0.026000000000000013
0.043099999999999986,0.024899999999999988,0.06390000000000004,0.019400000000000008
0.0356,0.0358,0.033500000000000016,0.012800000000000011
0.027699999999999968,0.02899999999999999,0.08080000000000002,0.02460000000000001
0.030899999999999993,0.03399999999999999,0.06620000000000001,0.03169999999999999
0.0353,0.0379,0.06070000000000002,0.030200000000000025
0.04080000000000002,0.040499999999999994,0.03930000000000002,0.029200000000000004
0.038900000000000025,0.028200000000000013,0.059200000000000016,0.03740000000000003
0.0684,0.04139999999999998,0.03580000000000001,0.02659999999999999
0.027200000000000002,0.043799999999999985,0.024900000000000012,0.03349999999999996
0.02579999999999999,0.034699999999999995,0.05730000000000004,0.026100000000000012
