LOCART MAD,A-LOCART MAD,Global CP MAD,Naive MAD,CDF MAD,Local CDF MAD,HDR MAD
0.047099999999999975,0.04129999999999998,0.056899999999999964,0.05199999999999997,0.0402,0.0503,0.07381437848916819
0.05189999999999999,0.05189999999999999,0.06649999999999998,0.05539999999999997,0.041999999999999996,0.052600000000000015,0.048948287071378625
0.05399999999999996,0.058399999999999966,0.06959999999999995,0.05809999999999995,0.04599999999999997,0.04259999999999997,0.0642319861600135
0.05929999999999995,0.050499999999999975,0.07679999999999995,0.06799999999999996,0.060399999999999954,0.04129999999999999,0.06901926372479068
0.046699999999999964,0.049499999999999975,0.06789999999999997,0.05199999999999997,0.03709999999999999,0.04359999999999997,0.05456796073310675
0.04799999999999999,0.04469999999999998,0.07119999999999996,0.05349999999999997,0.047999999999999966,0.046899999999999976,0.05924158526390895
0.05109999999999998,0.05439999999999996,0.07499999999999996,0.06809999999999995,0.05339999999999997,0.0348,0.07140397833112125
0.05189999999999998,0.05329999999999997,0.06439999999999997,0.06619999999999997,0.04839999999999998,0.04239999999999997,0.07670483293425041
0.05059999999999999,0.05379999999999998,0.06769999999999995,0.05259999999999998,0.050499999999999975,0.04339999999999997,0.04941038166647792
0.032899999999999985,0.04369999999999998,0.06719999999999995,0.05789999999999995,0.04149999999999997,0.0324,0.06044025690928945
0.04099999999999998,0.054299999999999994,0.060199999999999976,0.061599999999999974,0.047599999999999976,0.04759999999999999,0.0719471614884618
0.04639999999999996,0.04829999999999997,0.06779999999999994,0.05859999999999995,0.043599999999999986,0.04069999999999998,0.06371230509604302
0.044499999999999984,0.04519999999999998,0.06339999999999997,0.06439999999999996,0.049399999999999986,0.04719999999999998,0.05599643650044933
0.046799999999999974,0.05589999999999997,0.06849999999999995,0.06349999999999997,0.04679999999999997,0.049299999999999976,0.06713904483388451
0.043699999999999975,0.04339999999999998,0.057899999999999965,0.059699999999999975,0.04449999999999997,0.04269999999999998,0.05060402802620416
