,LOCART MAD,A-LOCART MAD,Global CP MAD,Naive MAD,CDF MAD,Local CDF MAD
mean,0.02336116000000001,0.02379840000000001,0.022295480000000006,0.13249032000000002,0.024513600000000007,0.025071520000000014
stderr,0.00045542839609245584,0.0005427501518626583,0.00024735297961101866,0.00100391563083188,0.0002634014240737542,0.00035447798727315154
