,LOCART MAD,A-LOCART MAD,Global CP MAD,Naive MAD,CDF MAD,Local CDF MAD,HDR MAD
mean,0.05168046666666667,0.0520574,0.0520048,0.19369533333333339,0.0537332,0.05584046666666666,0.16389287616756873
stderr,0.0006682365792320528,0.0008957692444543661,0.0008961322541966094,0.005872199902899837,0.0009229153637986715,0.0010596676238095574,0.010061247851348197
