,LOCART MAD,A-LOCART MAD,Global CP MAD,Naive MAD,CDF MAD,Local CDF MAD
mean,0.014618800000000012,0.014996840000000011,0.01361764000000001,0.05188872000000003,0.029328640000000007,0.03033160000000001
stderr,0.00039982527204175737,0.00048675127651793236,0.00033040747478820507,0.000745142043733123,0.0002961531343540954,0.0003824349057589501
