,LOCART MAD,A-LOCART MAD,Global CP MAD,Naive MAD,CDF MAD,Local CDF MAD
mean,0.038570280000000005,0.04088471999999999,0.04783172,0.057969719999999975,0.04647915999999999,0.04005148
stderr,0.000761779118471211,0.0007802525258621631,0.0011767761870119422,0.0018345793036162656,0.002145519065945276,0.0010915500049274616
