,LOCART MAD,Global CP MAD,Naive MAD,CDF MAD
mean,0.032220000000000006,0.03136333333333335,0.046433333333333354,0.03163333333333334
stderr,0.0015321489678781616,0.0012692425411845016,0.002676136919565316,0.0013523783505606463
