,LOCART MAD,Global CP MAD,Naive MAD,CDF MAD
mean,0.013718000000000008,0.013318800000000009,0.031002666666666675,0.02963933333333334
stderr,0.00048314363436619104,0.00046117637572170764,0.0007419640259965544,0.000610208884350009
