,LOCART MAD,A-LOCART MAD,Global CP MAD,Naive MAD,CDF MAD,Local CDF MAD,HDR MAD
mean,0.12507333333333331,0.12507333333333331,0.12269333333333332,0.8983666666666664,0.12379999999999997,0.13016666666666665,0.3570185201415653
stderr,0.006243147845370722,0.006243147845370722,0.0065359552562047965,0.0013898096564731602,0.005908375119415161,0.006131702681782427,0.009496655721196253
