,LOCART MAD,Global CP MAD,Naive MAD,CDF MAD
mean,0.03855773333333334,0.038638533333333336,0.11253306666666667,0.024854133333333344
stderr,0.0006850027978160914,0.0006586044543590541,0.0025908176599872073,0.0003461206212354941
