,LOCART MAD,A-LOCART MAD,Global CP MAD,Naive MAD,CDF MAD,Local CDF MAD
mean,0.078856,0.03101800000000001,0.084476,0.08005400000000003,0.03071800000000001,0.031802000000000004
stderr,0.0016423481447523322,0.0012405057888800436,0.001351641662451061,0.0023417126298536993,0.0010565855287632125,0.0010536331313650896
