,LOCART MAD,Global CP MAD,Naive MAD,CDF MAD
mean,0.24696333333333334,0.23854333333333333,0.26546666666666663,0.23731333333333332
stderr,0.010950086845121769,0.011326699901177793,0.010063920231274488,0.011420791418651885
