,LOCART MAD,Global CP MAD,Naive MAD,CDF MAD
mean,0.023516400000000003,0.02348686666666667,0.03695366666666668,0.020778266666666673
stderr,0.0005653933176808526,0.0006567006468832347,0.0024634057353303063,0.0007385046384391697
