,LOCART MAD,A-LOCART MAD,Global CP MAD,Naive MAD,CDF MAD,Local CDF MAD,HDR MAD
mean,0.072632,0.027430000000000013,0.08057,0.06426200000000003,0.022806000000000014,0.023072000000000013,0.10088006050159709
stderr,0.001594576112824921,0.0010703661399116603,0.001260253456853106,0.0016965652937386076,0.0007479463584389197,0.000780769060946073,0.0024253017633930523
