,LOCART MAD,Global CP MAD,Naive MAD,CDF MAD
mean,0.09798,0.10218666666666666,0.10123666666666666,0.10131333333333332
stderr,0.007688050737211029,0.007544936237984323,0.007653053606366266,0.007526771732974672
