,LOCART MAD,A-LOCART MAD,Global CP MAD,Naive MAD,CDF MAD,Local CDF MAD
mean,0.23533400000000004,0.23128000000000004,0.17482200000000003,0.276424,0.22719799999999998,0.242924
stderr,0.008195059542063083,0.008637726458238125,0.005488828201028719,0.006762554498629847,0.007340940544755328,0.007509875707550503
