,LOCART MAD,Global CP MAD,Naive MAD,CDF MAD
mean,0.036285733333333334,0.0467956,0.05308653333333331,0.04245373333333334
stderr,0.0010886547551326902,0.002451844857983278,0.0030312017322486613,0.0034464746038409487
