,LOCART vol,A-LOCART vol,Global CP vol,Naive vol,CDF vol,Local CDF vol,HDR vol
mean,0.051110176,0.051110176,0.05201641600000001,0.069171232,0.059627296,0.05337590400000001,0.048746281543390724
stderr,0.005012979722230926,0.005012979722230926,0.00581823642899641,0.008989018178096567,0.008125791680648578,0.005759957701687776,0.005020360151496793
