,LOCART vol,A-LOCART vol,Global CP vol,Naive vol,CDF vol,Local CDF vol,HDR vol
mean,0.0017533333333333333,0.0017533333333333333,0.0029400000000000003,0.004436666666666668,0.0038866666666666663,0.00235,0.006654670467017622
stderr,0.0005022874877065061,0.0005022874877065061,0.001039590989421973,0.0018928205757019778,0.0016154906256880053,0.0008041380049683529,0.0029344081013485844
