,LOCART MAD,A-LOCART MAD,Global CP MAD,Naive MAD,CDF MAD,Local CDF MAD,HDR MAD
mean,0.8983166666666665,0.89785,0.8979333333333331,0.7719000000000003,0.89755,0.8976500000000001,0.9919827709594968
stderr,0.0015666208112633802,0.0016586849104588569,0.0016537545811151635,0.003712699547638415,0.0017566540163997412,0.0016126564790866756,0.0015877538225702104
