,LOCART MAD,A-LOCART MAD,Global CP MAD,Naive MAD,CDF MAD,Local CDF MAD,HDR MAD
mean,0.8993333333333334,0.8986333333333333,0.8986333333333334,0.0173,0.8988333333333334,0.8970999999999999,0.8724179999999999
stderr,0.0018667942133295372,0.0016216295938599977,0.002001467715421115,0.0034934632836607447,0.0020607827146075838,0.002181196700808769,0.001557311847536066
